dog_number,fractions,exposure_time,first_exposure_age,dose_per_minute,dose_per_fraction,total_dose
147,1,30,415,8.1,244,244
148,1,30,415,8.1,244,244
149,1,30,415,8.1,244,244
150,1,30,415,8.1,244,244
151,1,30,415,8.1,244,244
176,1,30,408,8.1,244,244
177,1,30,408,8.1,244,244
188,1,30,407,8.1,244,244
189,1,30,407,8.1,244,244
191,1,30,407,8.1,244,244
192,1,30,407,8.1,244,244
245,1,30,400,8.1,244,244
250,1,30,391,8.1,244,244
251,1,30,391,8.1,244,244
252,1,30,391,8.1,244,244
783,1,23.3,404,11.2,262,262
784,1,23.3,404,11.2,262,262
785,1,23.3,404,11.2,262,262
787,1,23.3,398,11.2,262,262
788,1,23.3,398,11.2,262,262
790,1,23.3,398,11.2,262,262
791,1,23.3,398,11.2,262,262
792,1,23.3,398,11.2,262,262
793,1,23.3,398,11.2,262,262
801,2,18.3,408,11.2,206,412
802,3,18.3,408,11.2,206,619
803,2,20,408,11.2,225,450
804,3,20,408,11.2,225,675
805,3,21.7,408,11.2,244,731
806,3,21.7,408,11.2,244,731
807,2,18.3,408,11.2,206,412
808,1,20,408,11.2,225,225
809,2,21.7,408,11.2,244,488
811,1,18.3,408,11.2,206,206
812,2,19.1,507,10.8,207,413
817,2,21.7,407,11.2,244,488
818,3,18.3,407,11.2,206,619
819,3,20,399,11.2,225,675
821,1,21.7,399,11.2,244,244
823,2,18.3,396,11.2,206,412
826,2,20,393,11.2,225,450
828,3,21.7,393,11.2,244,731
830,3,18.3,389,11.2,206,619
831,3,20,389,11.2,225,675
832,2,21.7,389,11.2,244,488
833,3,18.3,389,11.2,206,619
834,1,20,389,11.2,225,225
846,1,23.6,416,10.8,255,255
847,1,25.3,416,10.8,274,274
848,1,23.6,416,10.8,255,255
849,1,25.3,416,10.8,274,274
850,1,23.6,416,10.8,255,255
851,1,25.3,416,10.8,274,274
853,1,23.6,404,10.8,255,255
855,1,25.3,404,10.8,274,274
857,2,23.6,404,10.8,255,510
858,1,25.3,404,10.8,274,274
859,1,23.6,400,10.8,255,255
860,1,25.3,400,10.8,274,274
862,1,25.3,400,10.8,274,274
863,1,23.6,400,10.8,255,255
864,1,23.6,400,10.8,255,255
865,1,25.3,400,10.8,274,274
866,1,35.3,397,10.8,382,382
2871,1,22,3105,31,683,683
3605,1,5,1,22.5,112,112
3606,1,5,1,22.5,112,112
3607,1,5,1,22.5,112,112
3691,1,39,679,26.2,1024,1024
3699,1,39,637,26.2,1024,1024
3703,1,39,637,26.2,1024,1024
3774,1,9.7,1313,15.5,150,150
3776,1,20,871,15,300,300
3778,1,20,871,15,300,300
3785,1,2.8,860,6,17,17
3786,1,2.8,860,6,17,17
3792,1,20,22,8.4,169,169
3793,1,20,22,8.4,169,169
3794,1,20,22,8.4,169,169
3795,1,20,22,8.4,169,169
3796,1,20,22,8.4,169,169
3805,1,5,791,3,15,15
3806,1,5,791,3,15,15
3808,1,10,798,1.5,15,15
3821,1,10,775,1.5,15,15
3833,1,20,750,0.8,15,15
3837,1,21,1206,31,652,652
3838,1,20,743,0.8,15,15
3841,1,9.7,1145,15.5,150,150
3873,1,9.7,939,15.5,150,150
3914,1,16.7,1144,18,300,300
3925,1,19,1077,18,342,342
3926,1,48,1077,18,864,864
3927,1,16.7,1106,18,300,300
3928,1,16.7,1106,18,300,300
3929,1,19,1062,18,342,342
3930,1,71,1062,18,1278,1278
3935,1,16.7,1080,18,300,300
3938,1,16.7,1063,18,300,300
3941,1,16.7,1063,18,300,300
3944,1,16.7,1035,18,300,300
3945,1,16.7,1035,18,300,300
3948,1,16.7,1043,18,300,300
3950,1,16.7,1011,18,300,300
3951,1,16.7,1011,18,300,300
3955,1,23,403,31,714,714
3957,1,16.7,931,18,300,300
4285,1,33.3,556,9,300,300
4286,1,33.3,556,9,300,300
4287,1,33.3,556,9,300,300
4289,1,33.3,556,9,300,300
4290,1,33.3,550,9,300,300
4291,1,33.3,550,9,300,300
4432,1,8.3,2,9,75,75
4433,1,8.3,2,9,75,75
4434,1,8.3,2,9,75,75
4435,1,8.3,2,9,75,75
4436,1,8.3,2,9,75,75
4437,1,8.3,2,9,75,75
4438,1,8.3,2,9,75,75
4452,1,0.4,0,187.5,75,75
4453,1,0.4,0,187.5,75,75
4454,1,0.4,0,187.5,75,75
4455,1,0.4,0,187.5,75,75
4456,1,0.4,0,187.5,75,75
4457,1,0.4,0,187.5,75,75
4458,1,0.4,0,187.5,75,75
4459,1,0.4,0,187.5,75,75
